name	source
easter green	xkcd
easter purple	xkcd
ecru	xkcd
egg shell	xkcd
eggplant	xkcd
eggplant purple	xkcd
eggshell	xkcd
eggshell blue	xkcd
electric blue	xkcd
electric green	xkcd
electric lime	xkcd
electric pink	xkcd
electric purple	xkcd
emerald	xkcd
emerald green	xkcd
evergreen	xkcd
faded blue	xkcd
faded green	xkcd
faded orange	xkcd
faded pink	xkcd
faded purple	xkcd
faded red	xkcd
faded yellow	xkcd
fawn	xkcd
fern	xkcd
fern green	xkcd
fire engine red	xkcd
firebrick	css
flat blue	xkcd
flat green	xkcd
floral white	css
fluorescent green	xkcd
fluro green	xkcd
foam green	xkcd
forest	xkcd
forest green	xkcd+css
forrest green	xkcd
french blue	xkcd
fresh green	xkcd
frog green	xkcd
fuchsia	xkcd+css
gainsboro	css
ghost white	css
gold	xkcd+css
golden	xkcd
golden brown	xkcd
golden rod	xkcd
golden yellow	xkcd
goldenrod	xkcd+css
grape	xkcd
grape purple	xkcd
grapefruit	xkcd
grass	xkcd
grass green	xkcd
grassy green	xkcd
gray	css
green	xkcd+css
green apple	xkcd
green blue	xkcd
green brown	xkcd
green grey	xkcd
green teal	xkcd
green yellow	xkcd+css
greenblue	xkcd
greenish	xkcd
greenish beige	xkcd
greenish blue	xkcd
greenish brown	xkcd
greenish cyan	xkcd
greenish grey	xkcd
greenish tan	xkcd
greenish teal	xkcd
greenish turquoise	xkcd
greenish yellow	xkcd
greeny blue	xkcd
greeny brown	xkcd
greeny grey	xkcd
greeny yellow	xkcd
grey	xkcd+css
grey blue	xkcd
grey brown	xkcd
grey green	xkcd
grey pink	xkcd
grey purple	xkcd
grey teal	xkcd
greyblue	xkcd
greyish	xkcd
greyish blue	xkcd
greyish brown	xkcd
greyish green	xkcd
greyish pink	xkcd
greyish purple	xkcd
greyish teal	xkcd
gross green	xkcd
gunmetal	xkcd
hazel	xkcd
heather	xkcd
heliotrope	xkcd
highlighter green	xkcd
honeydew	css
hospital green	xkcd
hot green	xkcd
hot magenta	xkcd
hot pink	xkcd+css
hot purple	xkcd
hunter green	xkcd
ice	xkcd
ice blue	xkcd
icky green	xkcd
indian red	xkcd+css
indigo	xkcd+css
indigo blue	xkcd
iris	xkcd
irish green	xkcd
ivory	xkcd+css
jade	xkcd
jade green	xkcd
jungle green	xkcd
kelley green	xkcd
kelly green	xkcd
kermit green	xkcd
key lime	xkcd
khaki	xkcd+css
khaki green	xkcd
kiwi	xkcd
kiwi green	xkcd
lavender	xkcd+css
lavender blue	xkcd
lavender blush	css
lavender pink	xkcd
lawn green	xkcd+css
leaf	xkcd
leaf green	xkcd
leafy green	xkcd
leather	xkcd
lemon	xkcd
lemon chiffon	css
lemon green	xkcd
lemon lime	xkcd
lemon yellow	xkcd
lichen	xkcd
light aqua	xkcd
light aquamarine	xkcd
